[0.9924395680427551, -0.12273415178060532, 0.9267998337745667, 0.37555572390556335, -0.28137513995170593, 0.8438547849655151];[0.9860721230506897, -0.16631834208965302, 0.8628513216972351, 0.5054577589035034, -0.14738665521144867, 0.5778573155403137];2
[0.9860721230506897, -0.16631834208965302, 0.8628513216972351, 0.5054577589035034, -0.14738665521144867, 0.5778573155403137];[0.9861702919006348, -0.16573527455329895, 0.8387933373451233, 0.5444499254226685, 0.15277212858200073, -0.12392280995845795];1
[0.9861702919006348, -0.16573527455329895, 0.8387933373451233, 0.5444499254226685, 0.15277212858200073, -0.12392280995845795];[0.9926854968070984, -0.12072911113500595, 0.8699445724487305, 0.4931495487689972, 0.29170989990234375, -0.46138089895248413];2
[0.9926854968070984, -0.12072911113500595, 0.8699445724487305, 0.4931495487689972, 0.29170989990234375, -0.46138089895248413];[0.9990949034690857, -0.04253704100847244, 0.9334747791290283, 0.358643114566803, 0.4747554361820221, -0.995305597782135];1
[0.9990949034690857, -0.04253704100847244, 0.9334747791290283, 0.358643114566803, 0.4747554361820221, -0.995305597782135];[0.9982381463050842, 0.05933508276939392, 0.9908250570297241, 0.13515082001686096, 0.517228901386261, -1.262940764427185];1
[0.9982381463050842, 0.05933508276939392, 0.9908250570297241, 0.13515082001686096, 0.517228901386261, -1.262940764427185];[0.990338146686554, 0.1386735886335373, 0.9968478083610535, -0.0793374627828598, 0.2570488750934601, -0.8367353677749634];2
[0.990338146686554, 0.1386735886335373, 0.9968478083610535, -0.0793374627828598, 0.2570488750934601, -0.8367353677749634];[0.9834782481193542, 0.18102620542049408, 0.9683517813682556, -0.24958938360214233, 0.15751762688159943, -0.8548554182052612];0
[0.9834782481193542, 0.18102620542049408, 0.9683517813682556, -0.24958938360214233, 0.15751762688159943, -0.8548554182052612];[0.9853354692459106, 0.17062833905220032, 0.9426141977310181, -0.3338838517665863, -0.2618170380592346, -0.016645632684230804];2
[0.9853354692459106, 0.17062833905220032, 0.9426141977310181, -0.3338838517665863, -0.2618170380592346, -0.016645632684230804];[0.9966711401939392, 0.08152677863836288, 0.9659723043441772, -0.2586454749107361, -0.6164644956588745, 0.7794639468193054];2
[0.9966711401939392, 0.08152677863836288, 0.9659723043441772, -0.2586454749107361, -0.6164644956588745, 0.7794639468193054];[0.9993081092834473, -0.03719276189804077, 0.9934924244880676, -0.11389832943677902, -0.5430113077163696, 0.650858998298645];0
